query,k1,k2,recall_docs_1,recall_docs_2,recall_final
1912 films set in England,100,100,0.545455,0.000000,0.000000
1912 films set in England,100,300,0.545455,0.000000,0.000000
1912 films set in England,100,500,0.545455,0.000000,0.000000
1912 films set in England,100,700,0.545455,0.000000,0.000000
1912 films set in England,100,900,0.545455,0.090909,0.090909
1912 films set in England,300,100,0.636364,0.000000,0.000000
1912 films set in England,300,300,0.636364,0.000000,0.000000
1912 films set in England,300,500,0.636364,0.000000,0.000000
1912 films set in England,300,700,0.636364,0.000000,0.000000
1912 films set in England,300,900,0.636364,0.090909,0.090909
1912 films set in England,500,100,0.727273,0.000000,0.000000
1912 films set in England,500,300,0.727273,0.000000,0.000000
1912 films set in England,500,500,0.727273,0.000000,0.000000
1912 films set in England,500,700,0.727273,0.000000,0.000000
1912 films set in England,500,900,0.727273,0.090909,0.090909
1912 films set in England,700,100,0.818182,0.000000,0.000000
1912 films set in England,700,300,0.818182,0.000000,0.000000
1912 films set in England,700,500,0.818182,0.000000,0.000000
1912 films set in England,700,700,0.818182,0.000000,0.000000
1912 films set in England,700,900,0.818182,0.090909,0.090909
1912 films set in England,900,100,0.818182,0.000000,0.000000
1912 films set in England,900,300,0.818182,0.000000,0.000000
1912 films set in England,900,500,0.818182,0.000000,0.000000
1912 films set in England,900,700,0.818182,0.000000,0.000000
1912 films set in England,900,900,0.818182,0.090909,0.090909
