query,k1,k2,recall_score
romance films from New Zealand,100,100,0.000000
romance films from New Zealand,100,200,0.000000
romance films from New Zealand,100,300,0.000000
romance films from New Zealand,100,400,0.000000
romance films from New Zealand,100,500,0.000000
romance films from New Zealand,100,600,0.000000
romance films from New Zealand,100,700,0.000000
romance films from New Zealand,100,800,0.000000
romance films from New Zealand,100,900,0.000000
romance films from New Zealand,100,1000,0.000000
romance films from New Zealand,200,100,0.000000
romance films from New Zealand,200,200,0.000000
romance films from New Zealand,200,300,0.000000
romance films from New Zealand,200,400,0.000000
romance films from New Zealand,200,500,0.000000
romance films from New Zealand,200,600,0.000000
romance films from New Zealand,200,700,0.000000
romance films from New Zealand,200,800,0.000000
romance films from New Zealand,200,900,0.000000
romance films from New Zealand,200,1000,0.000000
romance films from New Zealand,300,100,0.000000
romance films from New Zealand,300,200,0.000000
romance films from New Zealand,300,300,0.000000
romance films from New Zealand,300,400,0.000000
romance films from New Zealand,300,500,0.000000
romance films from New Zealand,300,600,0.000000
romance films from New Zealand,300,700,0.000000
romance films from New Zealand,300,800,0.000000
romance films from New Zealand,300,900,0.000000
romance films from New Zealand,300,1000,0.000000
romance films from New Zealand,400,100,0.000000
romance films from New Zealand,400,200,0.000000
romance films from New Zealand,400,300,0.000000
romance films from New Zealand,400,400,0.000000
romance films from New Zealand,400,500,0.000000
romance films from New Zealand,400,600,0.000000
romance films from New Zealand,400,700,0.000000
romance films from New Zealand,400,800,0.000000
romance films from New Zealand,400,900,0.000000
romance films from New Zealand,400,1000,0.000000
romance films from New Zealand,500,100,0.000000
romance films from New Zealand,500,200,0.000000
romance films from New Zealand,500,300,0.000000
romance films from New Zealand,500,400,0.000000
romance films from New Zealand,500,500,0.000000
romance films from New Zealand,500,600,0.000000
romance films from New Zealand,500,700,0.000000
romance films from New Zealand,500,800,0.000000
romance films from New Zealand,500,900,0.000000
romance films from New Zealand,500,1000,0.000000
romance films from New Zealand,600,100,0.000000
romance films from New Zealand,600,200,0.000000
romance films from New Zealand,600,300,0.000000
romance films from New Zealand,600,400,0.000000
romance films from New Zealand,600,500,0.000000
romance films from New Zealand,600,600,0.000000
romance films from New Zealand,600,700,0.000000
romance films from New Zealand,600,800,0.000000
romance films from New Zealand,600,900,0.000000
romance films from New Zealand,600,1000,0.000000
romance films from New Zealand,700,100,0.000000
romance films from New Zealand,700,200,0.000000
romance films from New Zealand,700,300,0.000000
romance films from New Zealand,700,400,0.000000
romance films from New Zealand,700,500,0.000000
romance films from New Zealand,700,600,0.000000
romance films from New Zealand,700,700,0.000000
romance films from New Zealand,700,800,0.000000
romance films from New Zealand,700,900,0.000000
romance films from New Zealand,700,1000,0.000000
romance films from New Zealand,800,100,0.000000
romance films from New Zealand,800,200,0.000000
romance films from New Zealand,800,300,0.000000
romance films from New Zealand,800,400,0.000000
romance films from New Zealand,800,500,0.000000
romance films from New Zealand,800,600,0.000000
romance films from New Zealand,800,700,0.000000
romance films from New Zealand,800,800,0.000000
romance films from New Zealand,800,900,0.000000
romance films from New Zealand,800,1000,0.000000
romance films from New Zealand,900,100,0.000000
romance films from New Zealand,900,200,0.000000
romance films from New Zealand,900,300,0.000000
romance films from New Zealand,900,400,0.000000
romance films from New Zealand,900,500,0.000000
romance films from New Zealand,900,600,0.000000
romance films from New Zealand,900,700,0.000000
romance films from New Zealand,900,800,0.000000
romance films from New Zealand,900,900,0.000000
romance films from New Zealand,900,1000,0.000000
romance films from New Zealand,1000,100,0.000000
romance films from New Zealand,1000,200,0.000000
romance films from New Zealand,1000,300,0.000000
romance films from New Zealand,1000,400,0.000000
romance films from New Zealand,1000,500,0.000000
romance films from New Zealand,1000,600,0.000000
romance films from New Zealand,1000,700,0.000000
romance films from New Zealand,1000,800,0.000000
romance films from New Zealand,1000,900,0.000000
romance films from New Zealand,1000,1000,0.000000
